date,VND,demand,supply
2022-11-15,43.40,1698,2008
2022-11-14,44.00,1534,2242
2022-11-11,44.15,920,2528
2022-10-11,43.95,1618,2229
2022-09-11,44.55,1411,3543
2022-08-11,43.80,2084,3249
2022-07-11,43.90,1930,2611
2022-04-11,44.50,2827,3925
2022-03-11,45.00,1528,1579
2022-02-11,44.90,2220,1865
2022-01-11,45.00,2078,2440
2022-10-31,45.00,2219,2594
2022-10-28,44.90,2720,4835
2022-10-27,44.00,3068,3596
2022-10-26,43.50,2535,3311
2022-10-25,44.60,3157,3353
2022-10-24,44.60,1962,2636
2022-10-21,47.95,3490,2237
2022-10-20,50.00,2722,2358
2022-10-19,50.00,1951,1517
2022-10-18,50.50,3934,3213
2022-10-17,49.50,2285,2640
2022-10-14,51.90,2093,1471
2022-10-13,52.80,1752,2144
2022-12-10,52.50,2466,2400
2022-11-10,51.80,2203,2752
2022-10-10,53.90,1623,1679
2022-07-10,53.80,2347,3024
2022-06-10,53.60,1403,2491
2022-05-10,53.80,3077,3268
2022-04-10,50.60,2949,2407
2022-03-10,50.40,3241,1973
2022-09-30,50.70,3964,3072
2022-09-29,50.80,2235,1740
2022-09-28,51.20,3032,1767
2022-09-27,54.10,1547,978
2022-09-26,55.90,2237,1584
2022-09-23,57.20,1757,867
2022-09-22,57.70,3000,1723
2022-09-21,58.30,1665,1578
2022-09-20,58.90,997,1150
2022-09-19,58.40,1938,1820
2022-09-16,59.60,1043,2124
2022-09-15,60.50,1390,2073
2022-09-14,60.00,1806,978
2022-09-13,60.70,1690,1763
2022-12-09,61.40,3641,3450
2022-09-09,59.90,2046,1473
2022-08-09,59.60,1995,1943
2022-07-09,59.50,1770,1628
2022-06-09,61.10,1645,2290
2022-05-09,61.00,2121,2578
2022-08-31,61.00,2067,2865
2022-08-30,59.90,1617,1933
2022-08-29,59.70,2887,1454
2022-08-26,60.30,1488,1861
2022-08-25,61.00,1722,3350
2022-08-24,59.70,1877,1830
2022-08-23,59.50,2020,1047
2022-08-22,59.40,2706,1808
2022-08-19,60.10,3821,1964
2022-08-18,61.10,2584,1952
2022-08-17,61.30,2093,1470
2022-08-16,61.30,1695,984
2022-08-15,61.50,1508,1953
2022-12-08,61.20,1270,994
2022-11-08,61.40,1340,1644
2022-10-08,61.30,1704,1636
2022-09-08,60.90,2184,1357
2022-08-08,61.50,1401,1111
2022-05-08,61.80,2823,1540
2022-04-08,63.00,4691,2945
2022-03-08,61.90,2149,1990
2022-02-08,62.50,3067,4247
2022-01-08,60.00,1797,1578
2022-07-29,59.90,2205,3195
2022-07-28,58.80,1848,1818
2022-07-27,58.60,796,934
2022-07-26,58.70,876,1336
2022-07-25,58.90,1157,1701
2022-07-22,58.70,1744,1574
2022-07-21,58.90,2207,1764
2022-07-20,59.70,1905,1831
2022-07-19,58.80,1918,1927
2022-07-18,59.00,2215,1725
2022-07-15,60.00,1961,1994
2022-07-14,60.10,1554,1774
2022-07-13,60.10,1954,2891
2022-12-07,60.20,2225,2160
2022-11-07,60.50,3058,2826
2022-08-07,61.00,2161,2212
2022-07-07,61.00,1933,1707
2022-06-07,59.10,3813,1884
2022-05-07,60.50,2053,1798
2022-04-07,61.00,1588,1048
2022-01-07,61.40,2016,1256
2022-06-30,62.10,1649,1200
2022-06-29,63.30,1566,2184
2022-06-28,63.80,1335,1539
2022-06-27,63.50,1416,1976
2022-06-24,63.20,1578,1491
2022-06-23,63.20,2381,1860
2022-06-22,64.80,1975,1769
2022-06-21,65.00,1425,1749
2022-06-20,65.00,1250,2012
2022-06-17,66.00,1688,1830
2022-06-16,66.00,1513,2780
2022-06-15,65.90,1915,2272
2022-06-14,66.00,2193,2159
2022-06-13,66.00,2258,2528
2022-10-06,68.30,1657,1592
2022-09-06,68.30,2031,2331
2022-08-06,68.50,1833,2425
2022-07-06,68.50,1883,2420
2022-06-06,69.30,1618,3914
2022-03-06,69.40,1602,2013
2022-02-06,69.50,1784,2622
2022-01-06,70.30,1307,2705
2022-05-31,69.60,2046,3055
2022-05-30,70.50,1943,2906
2022-05-27,69.70,1929,2811
2022-05-26,68.70,2483,4038
2022-05-25,67.90,2407,3291
2022-05-24,66.90,1704,2357
2022-05-23,66.70,2580,3422
2022-05-20,66.80,2418,3699
2022-05-19,67.00,2813,2854
2022-05-18,66.90,3540,3550
2022-05-17,66.90,3497,2773
2022-05-16,65.80,3573,2875
2022-05-13,68.00,3597,3307
2022-12-05,68.90,3379,4098
2022-11-05,70.50,4587,4095
2022-10-05,69.90,3164,3670
2022-09-05,68.00,2627,4103
2022-06-05,68.70,2645,4112
2022-05-05,68.80,3329,6734
2022-04-05,64.50,2395,2301
2022-04-29,65.00,4486,3989
2022-04-28,64.50,4936,3982
2022-04-27,65.00,3946,3740
2022-04-26,65.00,5198,4348
2022-04-25,63.00,4788,3243
2022-04-22,64.70,5336,3789
2022-04-21,64.00,4679,3876
2022-04-20,66.80,5809,3860
2022-04-19,68.90,2813,2916
2022-04-18,69.80,5535,3318
2022-04-15,71.10,6272,3619
2022-04-14,72.30,5104,2999
2022-04-13,73.10,4590,3205
2022-12-04,73.00,5209,2867
2022-08-04,75.10,4142,3473
2022-07-04,75.00,4037,3130
2022-06-04,76.30,3696,3128
2022-05-04,76.40,2406,4382
2022-04-04,76.30,2361,3802
2022-01-04,76.20,3266,3481
2022-03-31,75.80,2467,3821
2022-03-30,75.80,4589,3075
2022-03-29,76.50,2798,2391
2022-03-28,74.90,4715,1905
2022-03-25,75.90,2834,2238
2022-03-24,75.70,4764,2763
2022-03-23,77.20,2531,4467
2022-03-22,78.00,3107,6035
2022-03-21,77.50,3484,5295
2022-03-18,74.60,4759,5066
2022-03-17,74.00,3416,4816
2022-03-16,74.20,4484,2732
2022-03-15,74.50,4679,2771
2022-03-14,74.50,4479,3052
2022-11-03,75.00,5574,3534
2022-10-03,75.20,4779,4212
2022-09-03,74.00,7366,3532
2022-08-03,74.60,7997,3399
2022-07-03,76.20,10234,4891
2022-04-03,77.90,4614,3928
2022-03-03,78.00,6069,2738
2022-02-03,77.50,5996,2716
2022-01-03,78.00,3660,2706
2022-02-28,77.50,5278,2219
2022-02-25,78.30,4107,2620
2022-02-24,78.60,7845,3721
2022-02-23,79.40,3361,3003
2022-02-22,79.30,6420,2732
2022-02-21,80.00,2814,2851
2022-02-18,79.70,3857,3564
2022-02-17,80.80,2236,3143
2022-02-16,80.00,2559,2603
2022-02-15,80.00,3971,3468
2022-02-14,78.10,6838,2992
2022-11-02,79.70,5413,3490
2022-10-02,80.10,6952,3562
2022-09-02,81.50,3053,3879
2022-08-02,81.20,2871,3865
2022-07-02,82.20,3415,4537
2022-01-28,80.30,3129,3472
2022-01-27,81.00,4227,4306
2022-01-26,81.20,2988,4303
2022-01-25,81.00,5353,4182
2022-01-24,76.20,6143,3374
2022-01-21,79.40,4606,3724
2022-01-20,78.60,3976,3085
2022-01-19,77.60,5487,2244
2022-01-18,77.00,9448,4445
2022-01-17,79.10,8435,3796
2022-01-14,82.20,5448,2005
2022-01-13,82.20,5708,2985
2022-12-01,83.60,7790,3337
2022-11-01,83.60,5292,3401
2022-10-01,85.40,6386,8898
2022-07-01,85.40,5968,8986
2022-06-01,85.30,6483,10373
2022-05-01,84.00,5491,8689
2022-04-01,85.10,5701,8945
2021-12-31,82.00,3932,2733
2021-12-30,81.60,5654,2937
2021-12-29,81.70,4696,2847
2021-12-28,82.80,5072,3994
2021-12-27,82.80,4589,2512
2021-12-24,82.90,5811,3299
2021-12-23,82.50,7924,5180
2021-12-22,85.70,5802,8222
2021-12-21,86.00,6990,11838
2021-12-20,83.50,5322,5916
2021-12-17,84.50,10743,18543
2021-12-16,82.30,2680,3758
2021-12-15,82.60,2865,3978
2021-12-14,82.10,2329,4811
2021-12-13,82.10,3995,5405
2021-10-12,80.90,4747,3514
2021-09-12,81.60,3518,2788
2021-08-12,81.00,3593,3000
2021-07-12,81.60,4477,3576
2021-06-12,79.70,5942,4388
2021-03-12,80.20,6064,4510
2021-02-12,82.30,4181,3796
2021-01-12,82.90,5441,4269
2021-11-30,84.60,6826,7928
2021-11-29,84.80,5520,9578
2021-11-26,83.30,5852,9396
2021-11-25,83.90,7339,12323
2021-11-24,83.70,5217,6837
2021-11-23,82.50,3079,3801
2021-11-22,81.00,5868,4198
2021-11-19,80.50,8647,5602
2021-11-18,82.80,5414,5982
2021-11-17,83.50,3604,7019
2021-11-16,83.00,5461,8732
2021-11-15,84.00,4907,10890
2021-12-11,82.00,6790,4309
2021-11-11,81.50,9241,5684
2021-10-11,82.60,4887,4978
2021-09-11,83.00,6797,8881
2021-08-11,82.40,8518,4316
2021-05-11,82.00,9732,3804
2021-04-11,82.70,8503,4774
2021-03-11,82.90,8739,7773
2021-02-11,85.00,4538,5570
2021-01-11,84.30,8732,10034
2021-10-29,85.50,10574,18235
2021-10-28,81.00,4799,7844
2021-10-27,81.00,6157,12423
2021-10-26,78.70,3893,4518
2021-10-25,78.50,4087,5999
2021-10-22,78.00,5306,3955
2021-10-21,77.90,6691,4088
2021-10-20,78.80,4694,4413
2021-10-19,79.40,4062,5998
2021-10-18,78.90,5154,4538
2021-10-15,78.70,9073,3908
2021-10-14,78.90,11714,4380
2021-10-13,80.00,6434,4936
2021-12-10,80.90,6495,7109
2021-11-10,81.00,5415,5262
2021-08-10,79.90,3628,4294
2021-07-10,80.00,3569,4308
2021-06-10,80.50,3478,7402
2021-05-10,79.40,3349,6892
2021-04-10,78.00,5693,4576
2021-01-10,77.00,7178,3521
2021-09-30,78.30,3644,3961
2021-09-29,78.20,3517,4002
2021-09-28,78.50,6024,4363
2021-09-27,78.20,5060,5069
2021-09-24,79.60,5443,7025
2021-09-23,79.30,4953,6244
2021-09-22,78.00,14045,8420
2021-09-21,77.50,19632,8688
2021-09-20,79.90,9079,4718
2021-09-17,81.20,9918,5347
2021-09-16,80.10,12992,4587
2021-09-15,81.90,10128,6954
2021-09-14,107.00,8256,11923
2021-09-13,107.00,9601,7816
2021-10-09,107.50,9545,6096
2021-09-09,107.70,9692,5540
2021-08-09,107.90,7349,5990
2021-07-09,109.60,9031,12060
2021-06-09,108.40,9127,7312
2021-01-09,107.00,18345,7076
2021-08-31,106.40,7380,5253
2021-08-30,106.90,7116,4881
2021-08-27,106.90,9490,5453
2021-08-26,106.60,11626,5275
